hidden_layers,neurons_per_layer,activation,batch_size,val_loss
1,50,tanh,16,19.201961618272335
1,50,tanh,32,19.125826066987404
1,50,tanh,64,20.007329558843587
1,50,relu,16,19.351224144306364
1,50,relu,32,19.388032024857853
1,50,relu,64,19.992456976454054
1,50,sigmoid,16,19.162462819811434
1,50,sigmoid,32,19.851371898185334
1,50,sigmoid,64,20.754814096496844
1,50,linear,16,20.0882254358281
1,50,linear,32,20.38275745265002
1,50,linear,64,21.062059853376102
1,50,softmax,16,188.64106006289688
1,50,softmax,32,267.0582717777999
1,50,softmax,64,307.3601560723405
1,50,selu,16,19.22673211684045
1,50,selu,32,19.2191610617584
1,50,selu,64,20.215191513492904
1,50,gelu,16,19.332922799715945
1,50,gelu,32,19.305301105043824
1,50,gelu,64,20.074119674725623
1,50,exponential,16,19.418273696502567
1,50,exponential,32,19.368924315763742
1,50,exponential,64,18.967996397288267
1,25,tanh,16,19.21994132897621
1,25,tanh,32,20.03075061156019
1,25,tanh,64,21.12543914765425
1,25,relu,16,20.051214022709246
1,25,relu,32,20.21636336756308
1,25,relu,64,20.849846790000857
1,25,sigmoid,16,19.646125543467207
1,25,sigmoid,32,20.780475203321096
1,25,sigmoid,64,21.84850640358047
1,25,linear,16,20.395762608530454
1,25,linear,32,20.91273504493399
1,25,linear,64,21.558650232879682
1,25,softmax,16,188.83060869602133
1,25,softmax,32,267.0393812132674
1,25,softmax,64,307.3427729777577
1,25,selu,16,19.55879573951585
1,25,selu,32,20.44949248654628
1,25,selu,64,20.63363005055245
1,25,gelu,16,19.762567525491857
1,25,gelu,32,20.25143919842317
1,25,gelu,64,20.704208604010443
1,25,exponential,16,19.23528676945399
1,25,exponential,32,19.11030230552873
1,25,exponential,64,18.992005317600704
1,100,tanh,16,19.11811800842419
1,100,tanh,32,19.571888015601033
1,100,tanh,64,19.348134350820942
1,100,relu,16,18.825197810897055
1,100,relu,32,19.054555895314415
1,100,relu,64,19.35737290100255
1,100,sigmoid,16,19.11011471092913
1,100,sigmoid,32,19.339647630407203
1,100,sigmoid,64,20.098569978452808
1,100,linear,16,20.061198880959612
1,100,linear,32,20.40822040233081
1,100,linear,64,20.771391415949388
1,100,softmax,16,188.67793838664497
1,100,softmax,32,266.9698233679666
1,100,softmax,64,307.4265283343955
1,100,selu,16,18.68912616432594
1,100,selu,32,18.942936863373493
1,100,selu,64,19.386286606836617
1,100,gelu,16,19.013066237911744
1,100,gelu,32,19.00685474298932
1,100,gelu,64,19.32662778979498
1,100,exponential,16,19.80576769776738
1,100,exponential,32,19.657982878218885
1,100,exponential,64,19.013915373260243
2,50,tanh,16,19.377810551088068
2,50,tanh,32,19.248471980150995
2,50,tanh,64,18.949118419674832
2,50,relu,16,19.141826135421535
2,50,relu,32,19.492345380085577
2,50,relu,64,19.50247159968621
2,50,sigmoid,16,18.872893485941383
2,50,sigmoid,32,19.217305244530845
